Algorithm,N,Time,Comparisons,Assignments,maxDepth
ClosestPoint,49,163500,122,107,6
ClosestPoint,107,208600,244,184,7
ClosestPoint,144,286500,328,232,8
ClosestPoint,109,193900,256,183,7
ClosestPoint,87,165100,200,139,7
ClosestPoint,40,158100,82,66,6
ClosestPoint,108,129200,264,179,7
ClosestPoint,109,112000,244,201,7
ClosestPoint,94,91400,226,174,7
ClosestPoint,81,94000,210,151,7
DeterministicSelect,30,139200,60,60,6
DeterministicSelect,30,69100,76,76,8
DeterministicSelect,30,49300,66,66,6
DeterministicSelect,30,58200,76,76,8
DeterministicSelect,30,46300,61,61,7
DeterministicSelect,30,79200,75,75,10
DeterministicSelect,30,106100,86,86,10
DeterministicSelect,30,53800,71,71,7
DeterministicSelect,30,67900,64,64,7
DeterministicSelect,30,53300,66,66,6
DeterministicSelect,30,65300,75,75,7
DeterministicSelect,30,58900,82,82,9
DeterministicSelect,30,76100,81,81,9
DeterministicSelect,30,51600,66,66,7
DeterministicSelect,30,58600,65,65,7
DeterministicSelect,30,63400,66,66,7
DeterministicSelect,30,51800,63,63,6
DeterministicSelect,30,487400,79,79,11
DeterministicSelect,30,83700,75,75,9
DeterministicSelect,30,87900,83,83,12
MergeSort,78,48400,384,534,11
MergeSort,26,15500,75,125,6
MergeSort,49,29900,188,329,11
MergeSort,0,500,0,0,0
MergeSort,2,1600,0,1,1
MergeSort,10,3400,12,9,1
MergeSort,38,19900,144,184,6
MergeSort,6,2400,4,5,1
MergeSort,18,10700,56,52,3
MergeSort,26,12900,88,123,6
QuickSort,18,34100,72,60,9
QuickSort,59,79500,275,239,9
QuickSort,74,78300,373,274,10
QuickSort,33,62400,201,158,12
QuickSort,61,61300,383,254,11
QuickSort,83,57100,447,320,11
QuickSort,7,12600,21,18,7
QuickSort,96,108200,566,377,11
QuickSort,60,91800,298,221,11
QuickSort,10,11500,33,33,8
